Freq [GHz],Phase [deg],Distance [mm],Mag_E [V_per_meter]
2.4,90,0,0.208970004
2.4,90,2.40004,0.178365269
2.4,90,4.80008,0.145414408
2.4,90,7.20012,0.111096016
2.4,90,9.60016,0.075628746
2.4,90,12.0002,0.043467817
2.4,90,14.40024,0.005067381
2.4,90,16.80028,0.02365486
2.4,90,19.20032,0.07025534
2.4,90,21.60036,0.096664117
2.4,90,24.0004,0.138965855
2.4,90,26.40044,0.17641852
2.4,90,28.80048,0.209028884
2.4,90,31.20052,0.23679761
2.4,90,33.60056,0.259719258
2.4,90,36.0006,0.27903725
2.4,90,38.40064,0.295282215
2.4,90,40.80068,0.305806674
2.4,90,43.20072,0.310610012
2.4,90,45.60076,0.309691784
2.4,90,48.0008,0.303051714
2.4,90,50.40084,0.297802085
2.4,90,52.80088,0.299078039
2.4,90,55.20092,0.296268724
2.4,90,57.60096,0.289373757
2.4,90,60.001,0.278393511
2.4,90,62.40104,0.2889424
2.4,90,64.80108,0.248564548
2.4,90,67.20112,0.150334957
2.4,90,69.60116,0.078058774
2.4,90,72.0012,0.080000944
2.4,90,74.40124,0.168886215
2.4,90,76.80128,0.321899136
2.4,90,79.20132,0.48068406
2.4,90,81.60136,0.666797895
2.4,90,84.0014,0.848362935
2.4,90,86.40144,1.003309671
2.4,90,88.80148,1.131639102
2.4,90,91.20152,1.233352106
2.4,90,93.60156,1.308449437
2.4,90,96.0016,1.356931726
2.4,90,98.40164,1.378799485
2.4,90,100.80168,1.316228896
2.4,90,103.20172,1.217533407
2.4,90,105.60176,1.086501635
2.4,90,108.0018,0.923131223
2.4,90,110.40184,0.703409347
2.4,90,112.80188,0.445802514
2.4,90,115.20192,0.263151405
2.4,90,117.60196,0.179876896
2.4,90,120.002,0.205085043
2.4,90,122.40204,0.332567078
2.4,90,124.80208,0.540799416
2.4,90,127.20212,0.792943644
2.4,90,129.60216,1.036846534
2.4,90,132.0022,1.202391004
2.4,90,134.40224,1.354004996
2.4,90,136.80228,1.489460507
2.4,90,139.20232,1.601723857
2.4,90,141.60236,1.690838954
2.4,90,144.0024,1.757051367
2.4,90,146.40244,1.800361356
2.4,90,148.80248,1.820769717
2.4,90,151.20252,1.818277782
2.4,90,153.60256,1.792887419
2.4,90,156.0026,1.744601031
2.4,90,158.40264,1.671343961
2.4,90,160.80268,1.51018106
2.4,90,163.20272,1.382448746
2.4,90,165.60276,1.254302654
2.4,90,168.0028,1.101607995
2.4,90,170.40284,0.918846639
2.4,90,172.80288,0.711884261
2.4,90,175.20292,0.498805756
2.4,90,177.60296,0.309915238
2.4,90,180.003,0.18773604
2.4,90,182.40304,0.187010712
2.4,90,184.80308,0.369704436
2.4,90,187.20312,0.590522207
2.4,90,189.60316,0.795449651
2.4,90,192.0032,0.984480563
2.4,90,194.40324,1.157610538
2.4,90,196.80328,1.314836973
2.4,90,199.20332,1.456159065
2.4,90,201.60336,1.581577809
2.4,90,204.0034,1.691096005
2.4,90,206.40344,1.784718248
2.4,90,208.80348,1.832602136
2.4,90,211.20352,1.848664079
2.4,90,213.60356,1.839708964
2.4,90,216.0036,1.805736401
2.4,90,218.40364,1.746746235
2.4,90,220.80368,1.662738543
2.4,90,223.20372,1.554763151
2.4,90,225.60376,1.426329586
2.4,90,228.0038,nan
2.4,90,230.40384,nan
2.4,90,232.80388,nan
2.4,90,235.20392,nan
2.4,90,237.60396,nan
2.4,90,240.004,nan
